,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,ADANSI ASOKWA,,,,Registered Voters:,,"27,353",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Kobina T. Hammond,,M,40,"10,306",54.4%,,,
NDC,Theresa,Mensah,F,48,"7,230",38.2%,,,
PNC,Nana Yaw Frimpong,,M,35,"1,001",5.3%,,,
CPP,Kwame Amoh,,M,50,241,1.3%,,,
NRP,Peter Kofi Essilfie,,M,29,92,0.5%,,,
UGM,Prince Lawrence,,M,28,61,0.3%,,,
,,Total Votes Cast,"19,407",Valid Votes,"18,931",Rejected Votes,476,Turn-Out:,71.0%
Constituency,,AFIGYA SEKYERE EAST,,,,Registered Voters:,,"50,325",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Kwasi A. Kyeremateng,,M,45,"26,162",71.7%,,,
NDC,Edward O. Aboagye,,M,45,"8,935",24.5%,,,
CPP,Dorothy G. Antwi,,F,27,451,1.2%,,,
NRP,Ernest A. Boadu,,M,34,421,1.2%,,,
UGM,Emmanuel A. Gyasi,,M,32,307,0.8%,,,
PNC,Kwakwa Amoah,,M,61,213,0.6%,,,
,,Total Votes Cast,"36,824",Valid Votes,"36,489",Rejected Votes,335,Turn-Out:,73.2%
Constituency,,AFIGYA SEKYERE WEST,,,,Registered Voters:,,"20,657",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Albert Kan-Dapaah,,M,47,"10,605",72.2%,,,
NDC,Beatrice Aboagye,,F,47,"3,806",25.9%,,,
CPP,A.S. Osei Yaw,,M,56,129,0.9%,,,
PNC,Agyem Vincent,,M,38,82,0.6%,,,
NRP,Tawiah Joseph,,M,37,62,0.4%,,,
,,Total Votes Cast,"14,878",Valid Votes,"14,684",Rejected Votes,194,Turn-Out:,72.0%
12 December 2007,,,,,,,,Page 1 of 62,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,AHAFO-ANO NORTH,,,,Registered Voters:,,"33,629",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Kwame O. Frimpong,,M,40,"12,432",52.0%,,,
NDC,Annor Baffour,,M,41,"10,784",45.1%,,,
PNC,Johnson O. Antoh,,M,47,515,2.2%,,,
CPP,Paul K.A. Mono,,M,30,174,0.7%,,,
,,Total Votes Cast,"24,420",Valid Votes,"23,905",Rejected Votes,515,Turn-Out:,72.6%
Constituency,,AHAFO-ANO SOUTH,,,,Registered Voters:,,"49,199",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Stephen K.B. Manu,,M,42,"19,017",56.6%,,,
NDC,Osei Kuffour,,M,66,"14,054",41.8%,,,
CPP,Samuel K. Boateng,,M,60,209,0.6%,,,
NRP,Bernard K. Bekoe,,M,56,188,0.6%,,,
UGM,Ampratwu-Konadu,,M,45,131,0.4%,,,
,,Total Votes Cast,"33,599",Valid Votes,"33,599",Rejected Votes,0,Turn-Out:,68.3%
Constituency,,AMANSIE WEST,,,,Registered Voters:,,"56,419",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Stephen C.B. Karikari,,M,45,"28,657",79.8%,,,
NDC,Aninkora S. Kwaku,,M,46,"5,712",15.9%,,,
CPP,Kwame Agyekum,,M,34,686,1.9%,,,
NRP,Yaw T. Koduah,,M,42,557,1.6%,,,
PNC,Alex K. Bawua,,M,48,288,0.8%,,,
,,Total Votes Cast,"36,827",Valid Votes,"35,900",Rejected Votes,927,Turn-Out:,65.3%
Constituency,,ASANTE AKIM NORTH,,,,Registered Voters:,,"66,342",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Kwadwo Baa-Wiredu,,M,48,"32,341",72.3%,,,
NDC,Kofi Opoku Manu,,M,57,"11,852",26.5%,,,
CPP,Kwabena Anafi,,M,43,168,0.4%,,,
PNC,James K. Baah,,M,57,151,0.3%,,,
NRP,Emmanuel K. Adade,,M,50,130,0.3%,,,
UGM,Joseph B. Frimpong,,M,57,75,0.2%,,,
,,Total Votes Cast,"45,227",Valid Votes,"44,717",Rejected Votes,510,Turn-Out:,68.2%
12 December 2007,,,,,,,,Page 2 of 62,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,ASANTE AKIM SOUTH,,,,Registered Voters:,,"50,036",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Alex K. Korankye,,M,52,"19,198",57.1%,,,
NDC,Kwaku Kyeremanteng,,M,44,"13,892",41.3%,,,
